name,rating,acs,kd_diff,adr,kpr,apr,fpr,hs,kast,event
"Sayonara
KPI",(+2),146,1.38,303.1,1.69,78%,194.3,1.11,0.29,Champions Tour 2024 EMEA: Ascension
"aNguiSt
CGN",,144,1.33,225.4,1.74,76%,155.8,0.87,0.17,Champions Tour 2024 EMEA: Ascension
"Creamydreamy
SNS",,229,1.16,218.1,1.12,79%,139.2,0.79,0.57,Champions Tour 2024 EMEA: Ascension
"westside
DIA",,111,1.12,217.0,1.27,68%,150.6,0.81,0.20,Champions Tour 2024 EMEA: Ascension
"B1SK
KPI",(+1),146,1.12,226.6,1.34,72%,145.0,0.84,0.12,Champions Tour 2024 EMEA: Ascension
"Ticey
SNS",,229,1.11,243.6,1.16,72%,158.7,0.86,0.16,Champions Tour 2024 EMEA: Ascension
"DaviH
CGN",,144,1.09,187.9,1.10,79%,130.7,0.63,0.42,Champions Tour 2024 EMEA: Ascension
"Kiles
KPI",(+1),146,1.08,167.0,1.09,79%,111.5,0.60,0.38,Champions Tour 2024 EMEA: Ascension
"starkk
NOVO",(+1),241,1.08,191.5,1.08,69%,123.5,0.69,0.31,Champions Tour 2024 EMEA: Ascension
"Jesse
VLNT",,253,1.08,208.5,1.14,65%,143.0,0.77,0.32,Champions Tour 2024 EMEA: Ascension
"elllement
CGN",,144,1.08,229.6,1.29,72%,153.3,0.83,0.13,Champions Tour 2024 EMEA: Ascension
"Vince
CGN",,144,1.06,204.4,1.22,74%,126.0,0.76,0.33,Champions Tour 2024 EMEA: Ascension
"glovee
GAL",(+1),162,1.05,189.8,1.00,76%,121.9,0.67,0.35,Champions Tour 2024 EMEA: Ascension
"DESTRUCT1VEE
GAL",,162,1.05,206.8,1.09,77%,130.1,0.77,0.40,Champions Tour 2024 EMEA: Ascension
"Ambi
VLNT",(+2),253,1.03,186.8,0.95,71%,119.9,0.65,0.36,Champions Tour 2024 EMEA: Ascension
"d3ffo
VLNT",,253,1.02,219.0,1.06,66%,148.2,0.79,0.15,Champions Tour 2024 EMEA: Ascension
"Pa1ze
DIA",,111,1.02,233.8,1.05,71%,144.4,0.79,0.17,Champions Tour 2024 EMEA: Ascension
"silenttt
PPP",,110,1.01,201.2,1.03,70%,138.3,0.75,0.21,Champions Tour 2024 EMEA: Ascension
"Tempo
SNS",,229,0.99,209.9,1.09,67%,138.1,0.75,0.15,Champions Tour 2024 EMEA: Ascension
"Insider
KPI",,146,0.99,185.0,1.06,66%,128.7,0.64,0.19,Champions Tour 2024 EMEA: Ascension
"xiTsha
DIA",,111,0.98,185.8,1.07,76%,124.2,0.68,0.38,Champions Tour 2024 EMEA: Ascension
"NeskaaS
VLNT",,253,0.98,186.3,0.97,72%,125.0,0.69,0.23,Champions Tour 2024 EMEA: Ascension
"lurzy0y0
GAL",(+1),162,0.98,174.9,0.92,69%,118.8,0.63,0.25,Champions Tour 2024 EMEA: Ascension
"Masic
GAL",(+1),162,0.98,184.8,0.84,69%,121.7,0.61,0.31,Champions Tour 2024 EMEA: Ascension
"BennY
CGN",,144,0.97,171.0,1.00,71%,110.3,0.63,0.24,Champions Tour 2024 EMEA: Ascension
"zeddy
KPI",,146,0.97,179.7,0.92,74%,114.1,0.61,0.35,Champions Tour 2024 EMEA: Ascension
"Famzzam
SNS",,229,0.95,162.8,0.88,70%,108.0,0.59,0.25,Champions Tour 2024 EMEA: Ascension
"Sacake
VLNT",,253,0.94,168.9,0.78,68%,110.6,0.56,0.34,Champions Tour 2024 EMEA: Ascension
"alannn
NOVO",(+1),241,0.94,193.8,0.95,67%,130.8,0.70,0.20,Champions Tour 2024 EMEA: Ascension
"ip0TT
GAL",,162,0.94,216.1,0.98,69%,142.6,0.76,0.15,Champions Tour 2024 EMEA: Ascension
"N A I S
NOVO",(+2),241,0.93,190.8,0.91,68%,129.0,0.65,0.24,Champions Tour 2024 EMEA: Ascension
"Winteryrook
R8",(+1),108,0.93,209.0,0.96,72%,133.9,0.75,0.24,Champions Tour 2024 EMEA: Ascension
"Prti
DIA",,111,0.90,184.2,0.92,71%,123.8,0.65,0.33,Champions Tour 2024 EMEA: Ascension
"H1ber
NOVO",(+1),241,0.90,181.6,0.87,69%,123.0,0.64,0.36,Champions Tour 2024 EMEA: Ascension
"Akira
PPP",,110,0.89,163.8,0.74,69%,117.3,0.55,0.19,Champions Tour 2024 EMEA: Ascension
"SimonD4rk
R8",,89,0.89,208.3,0.90,62%,142.2,0.72,0.19,Champions Tour 2024 EMEA: Ascension
"Bgg
R8",,108,0.89,188.6,0.90,65%,129.0,0.65,0.24,Champions Tour 2024 EMEA: Ascension
"bipo
NOVO",,241,0.89,195.9,0.95,63%,129.9,0.72,0.17,Champions Tour 2024 EMEA: Ascension
"HearthBeat
SNS",,229,0.88,152.3,0.75,72%,104.2,0.52,0.41,Champions Tour 2024 EMEA: Ascension
"sickrey
R8",,108,0.88,166.2,0.73,63%,113.0,0.54,0.31,Champions Tour 2024 EMEA: Ascension
"Phatt
PPP",(+1),110,0.87,147.6,0.74,71%,98.3,0.52,0.36,Champions Tour 2024 EMEA: Ascension
"Grmekista
DIA",,111,0.87,175.0,0.85,74%,115.8,0.60,0.34,Champions Tour 2024 EMEA: Ascension
"fainz
PPP",,110,0.87,210.8,0.88,63%,146.6,0.71,0.22,Champions Tour 2024 EMEA: Ascension
"KILLDREAM
PPP",,110,0.84,189.4,0.79,65%,130.1,0.63,0.31,Champions Tour 2024 EMEA: Ascension
"steady
R8",,19,0.80,177.0,0.73,63%,121.4,0.58,0.16,Champions Tour 2024 EMEA: Ascension
"moner
R8",,108,0.66,147.0,0.64,58%,104.6,0.49,0.10,Champions Tour 2024 EMEA: Ascension
"Kyu
AMB",(+1),217,1.30,234.3,1.45,79%,150.6,0.83,0.49,Challengers League 2024 North America: Stage 2
"mada
MxS",(+1),498,1.27,267.0,1.38,76%,170.5,0.93,0.20,Challengers League 2024 North America: Stage 2
"velis
RESO",,210,1.23,232.2,1.28,81%,153.8,0.81,0.41,Challengers League 2024 North America: Stage 2
"smiley
AMB",,217,1.21,210.2,1.25,77%,139.3,0.73,0.45,Challengers League 2024 North America: Stage 2
"KHS
RESO",,210,1.20,234.6,1.19,83%,162.9,0.80,0.36,Challengers League 2024 North America: Stage 2
"nabil
RESO",,210,1.20,232.6,1.28,79%,149.9,0.83,0.26,Challengers League 2024 North America: Stage 2
"XXiF
QOR",(+1),291,1.19,243.9,1.32,77%,165.5,0.87,0.23,Challengers League 2024 North America: Stage 2
"Verno
OXG",(+3),507,1.18,201.3,1.25,77%,137.9,0.73,0.38,Challengers League 2024 North America: Stage 2
"brawk
MxS",,498,1.18,212.8,1.21,76%,142.5,0.75,0.33,Challengers League 2024 North America: Stage 2
"v1c
MxS",,498,1.18,222.3,1.24,78%,144.9,0.78,0.39,Challengers League 2024 North America: Stage 2
"Spaz
BLIN",,450,1.17,208.1,1.10,75%,137.9,0.68,0.41,Challengers League 2024 North America: Stage 2
"jcrueL
Sexy",,116,1.16,225.6,1.21,81%,144.1,0.79,0.37,Challengers League 2024 North America: Stage 2
"seven
TSM",(+4),585,1.15,220.3,1.17,77%,143.4,0.77,0.34,Challengers League 2024 North America: Stage 2
"koalanoob
M80",(+2),469,1.15,236.1,1.21,71%,143.6,0.82,0.21,Challengers League 2024 North America: Stage 2
"kumi
FOE",(+2),238,1.14,246.5,1.12,72%,155.5,0.83,0.24,Challengers League 2024 North America: Stage 2
"mitch
OXG",(+4),507,1.14,216.4,1.11,80%,140.3,0.72,0.52,Challengers League 2024 North America: Stage 2
"bao
LS",(+4),432,1.14,239.8,1.22,76%,153.1,0.85,0.29,Challengers League 2024 North America: Stage 2
"penny
YFP",(+1),286,1.13,233.4,1.20,72%,150.7,0.81,0.16,Challengers League 2024 North America: Stage 2
"VYX
FOE",(+2),238,1.13,234.8,1.23,73%,154.0,0.82,0.39,Challengers League 2024 North America: Stage 2
"skuba
OXG",(+2),507,1.11,196.8,1.10,76%,123.2,0.71,0.37,Challengers League 2024 North America: Stage 2
"NiSMO
M80",,469,1.11,200.1,1.10,75%,128.5,0.71,0.42,Challengers League 2024 North America: Stage 2
"Notexxd
LS",(+1),432,1.11,212.3,1.11,75%,140.8,0.75,0.39,Challengers League 2024 North America: Stage 2
"Blahst
spec",,141,1.10,198.1,1.16,77%,126.6,0.74,0.38,Challengers League 2024 North America: Stage 2
"roompa
AMB",(+1),217,1.09,216.2,1.15,77%,137.6,0.76,0.31,Challengers League 2024 North America: Stage 2
"acrian
AMB",,217,1.09,205.5,1.20,74%,134.9,0.73,0.19,Challengers League 2024 North America: Stage 2
"corey
DZ",(+3),498,1.09,226.5,1.10,73%,152.5,0.79,0.29,Challengers League 2024 North America: Stage 2
"Teague
BLIN",(+4),450,1.08,187.5,0.96,75%,125.5,0.64,0.54,Challengers League 2024 North America: Stage 2
"Paincakes
FAIM",(+3),408,1.08,219.5,1.10,78%,140.1,0.76,0.38,Challengers League 2024 North America: Stage 2
"thief
YFP",,286,1.08,211.9,1.14,72%,136.8,0.78,0.19,Challengers League 2024 North America: Stage 2
"furbsa
SAD",(+1),327,1.07,222.7,1.13,70%,149.7,0.82,0.19,Challengers League 2024 North America: Stage 2
"jakee
YFP",,286,1.07,210.0,1.09,77%,136.2,0.76,0.41,Challengers League 2024 North America: Stage 2
"zander
M80",,469,1.06,210.7,1.08,76%,134.2,0.74,0.39,Challengers League 2024 North America: Stage 2
"satellite
AMB",,217,1.06,231.6,1.12,70%,149.4,0.79,0.19,Challengers League 2024 North America: Stage 2
"neptune
FAIM",(+1),408,1.06,221.6,1.09,74%,142.8,0.77,0.41,Challengers League 2024 North America: Stage 2
"gMd
TSM",,585,1.05,206.0,1.00,75%,132.2,0.71,0.41,Challengers League 2024 North America: Stage 2
"mikeE
BLIN",(+1),450,1.04,213.0,1.11,75%,141.4,0.76,0.21,Challengers League 2024 North America: Stage 2
"fiziq
YFP",,286,1.03,176.1,0.94,73%,116.0,0.59,0.31,Challengers League 2024 North America: Stage 2
"zeldris
QOR",,291,1.03,244.9,1.09,71%,155.1,0.85,0.20,Challengers League 2024 North America: Stage 2
"mummAy
FAIM",,408,1.03,170.3,1.00,73%,109.9,0.62,0.41,Challengers League 2024 North America: Stage 2
"BcJ
M80",,469,1.03,186.3,0.94,73%,125.2,0.61,0.38,Challengers League 2024 North America: Stage 2
"Reduxx
OXG",(+1),507,1.02,228.1,1.07,73%,143.5,0.79,0.17,Challengers League 2024 North America: Stage 2
"Will
YFP",(+2),286,1.02,178.8,1.00,76%,118.7,0.63,0.32,Challengers League 2024 North America: Stage 2
"Neon
DNAD",,130,1.01,227.7,1.07,72%,140.8,0.79,0.19,Challengers League 2024 North America: Stage 2
"sym
TSM",(+1),585,1.01,234.7,1.04,69%,151.7,0.81,0.17,Challengers League 2024 North America: Stage 2
"andrew
RESO",(+1),210,1.01,206.0,1.07,70%,134.3,0.76,0.12,Challengers League 2024 North America: Stage 2
"bones
FAIM",,408,1.00,225.5,1.07,71%,146.6,0.75,0.22,Challengers League 2024 North America: Stage 2
"neT
M80",,419,1.00,182.8,1.02,70%,125.4,0.67,0.17,Challengers League 2024 North America: Stage 2
"Jonaaa6
FAIM",(+1),408,1.00,197.5,1.04,70%,131.0,0.69,0.20,Challengers League 2024 North America: Stage 2
"Dark3st
SAD",(+1),413,1.00,193.0,0.93,72%,123.1,0.67,0.36,Challengers League 2024 North America: Stage 2
"Nanners
spec",,141,0.99,194.4,0.96,72%,128.9,0.69,0.26,Challengers League 2024 North America: Stage 2
"jas0n
LS",(+1),432,0.99,193.0,1.00,71%,125.9,0.68,0.20,Challengers League 2024 North America: Stage 2
"Boni
spec",,141,0.99,202.1,0.98,65%,132.8,0.72,0.29,Challengers League 2024 North America: Stage 2
"Momiji
FOE",,238,0.99,187.7,0.92,68%,124.6,0.64,0.30,Challengers League 2024 North America: Stage 2
"cavern
LS",(+1),432,0.99,197.3,0.96,71%,127.5,0.66,0.38,Challengers League 2024 North America: Stage 2
"Torrify
Sexy",,116,0.99,181.2,1.05,73%,121.3,0.68,0.13,Challengers League 2024 North America: Stage 2
"Okeanos
BLIN",(+1),450,0.99,235.7,1.09,72%,148.5,0.85,0.19,Challengers League 2024 North America: Stage 2
"sherb
TSM",,23,0.99,183.0,1.15,78%,120.4,0.65,0.26,Challengers League 2024 North America: Stage 2
"toozy
FOE",,238,0.98,182.1,0.87,77%,119.4,0.61,0.51,Challengers League 2024 North America: Stage 2
"Tillo
spec",,141,0.98,179.7,0.83,66%,128.7,0.58,0.36,Challengers League 2024 North America: Stage 2
"mehzy
DNAD",(+1),130,0.98,231.0,0.98,74%,151.1,0.78,0.39,Challengers League 2024 North America: Stage 2
"dip
SAD",(+1),413,0.98,183.4,0.92,69%,124.4,0.62,0.31,Challengers League 2024 North America: Stage 2
"Polkan
LS",(+2),432,0.98,182.4,0.88,72%,116.1,0.62,0.44,Challengers League 2024 North America: Stage 2
"dapr
OXG",(+2),507,0.97,176.2,0.91,73%,117.3,0.61,0.28,Challengers League 2024 North America: Stage 2
"stellar
DZ",(+3),498,0.97,176.6,0.96,74%,118.0,0.63,0.34,Challengers League 2024 North America: Stage 2
"RiceballiNNN
Sexy",,116,0.97,200.2,0.94,69%,138.1,0.69,0.35,Challengers League 2024 North America: Stage 2
"Rawkus
DZ",,54,0.97,168.7,0.97,74%,116.7,0.63,0.31,Challengers League 2024 North America: Stage 2
"aproto
TSM",(+2),544,0.96,173.6,0.99,72%,114.4,0.65,0.23,Challengers League 2024 North America: Stage 2
"flyuh
MxS",(+4),498,0.95,180.4,0.86,73%,115.3,0.61,0.47,Challengers League 2024 North America: Stage 2
"nerve
QOR",(+3),291,0.95,169.2,0.89,70%,112.1,0.60,0.37,Challengers League 2024 North America: Stage 2
"monSi
BLIN",(+2),450,0.95,167.1,0.85,72%,107.1,0.59,0.36,Challengers League 2024 North America: Stage 2
"wedid
DZ",(+1),444,0.95,202.7,0.90,74%,131.1,0.69,0.36,Challengers League 2024 North America: Stage 2
"Ange
DB",,332,0.94,198.6,0.89,71%,126.2,0.68,0.36,Challengers League 2024 North America: Stage 2
"JoBa
DNAD",,130,0.94,205.0,0.98,63%,140.5,0.68,0.14,Challengers League 2024 North America: Stage 2
"POISED
TSM",(+2),585,0.93,167.9,0.87,74%,112.8,0.59,0.33,Challengers League 2024 North America: Stage 2
"Add3r
DZ",(+2),498,0.93,194.0,0.97,67%,129.1,0.70,0.20,Challengers League 2024 North America: Stage 2
"scarn
SAD",,413,0.93,210.3,0.94,69%,143.7,0.73,0.14,Challengers League 2024 North America: Stage 2
"contii
RESO",(+1),210,0.93,161.9,0.81,72%,103.1,0.55,0.46,Challengers League 2024 North America: Stage 2
"silenx
WU",,427,0.92,182.3,0.88,70%,120.6,0.65,0.40,Challengers League 2024 North America: Stage 2
"bdog
DZ",(+3),498,0.91,187.6,0.90,70%,121.0,0.65,0.28,Challengers League 2024 North America: Stage 2
"Jerk
WU",(+2),427,0.91,175.4,0.89,69%,117.5,0.59,0.21,Challengers League 2024 North America: Stage 2
"infiltrator
WU",,427,0.91,215.4,0.94,62%,141.0,0.75,0.18,Challengers League 2024 North America: Stage 2
"glo
Scre",(+1),102,0.90,232.2,0.96,64%,145.3,0.79,0.12,Challengers League 2024 North America: Stage 2
"AsianVyn
Sexy",,116,0.90,221.0,0.91,70%,139.9,0.74,0.29,Challengers League 2024 North America: Stage 2
"RetrQ
spec",(+1),141,0.89,203.0,0.85,70%,137.5,0.66,0.25,Challengers League 2024 North America: Stage 2
"screagy
Scre",(+1),102,0.88,199.2,0.76,74%,131.7,0.64,0.37,Challengers League 2024 North America: Stage 2
"ScrewFace
WU",(+2),427,0.88,173.4,0.85,67%,116.2,0.62,0.30,Challengers League 2024 North America: Stage 2
"oderus
MxS",(+1),498,0.88,162.2,0.89,67%,109.7,0.60,0.19,Challengers League 2024 North America: Stage 2
"nitr0
M80",,50,0.88,167.5,0.91,78%,115.1,0.60,0.20,Challengers League 2024 North America: Stage 2
"ZachaREEE
DB",(+2),332,0.87,204.8,0.89,62%,137.6,0.70,0.17,Challengers League 2024 North America: Stage 2
"tdawgg
QOR",(+2),291,0.87,178.4,0.80,73%,120.6,0.61,0.32,Challengers League 2024 North America: Stage 2
"Nick
DNAD",,130,0.86,159.5,0.76,71%,103.5,0.57,0.41,Challengers League 2024 North America: Stage 2
"Cohburg
SAD",(+1),413,0.85,169.1,0.77,68%,111.8,0.57,0.37,Challengers League 2024 North America: Stage 2
"benjii
FOE",,238,0.85,160.2,0.81,65%,109.7,0.57,0.21,Challengers League 2024 North America: Stage 2
"snackbox
Scre",,102,0.84,175.0,0.78,65%,117.3,0.60,0.24,Challengers League 2024 North America: Stage 2
"Drone
DB",(+2),332,0.83,164.4,0.76,67%,110.3,0.58,0.33,Challengers League 2024 North America: Stage 2
"Nahsie
WU",(+4),427,0.78,171.4,0.73,66%,110.9,0.59,0.37,Challengers League 2024 North America: Stage 2
"riku
DB",(+4),332,0.78,192.1,0.76,64%,124.8,0.65,0.25,Challengers League 2024 North America: Stage 2
"snarly
QOR",(+6),291,0.76,141.0,0.66,65%,95.1,0.49,0.32,Challengers League 2024 North America: Stage 2
"James
DNAD",,130,0.76,160.7,0.66,64%,112.5,0.50,0.29,Challengers League 2024 North America: Stage 2
"alvinboy
SAD",,86,0.73,161.0,0.74,60%,104.2,0.57,0.12,Challengers League 2024 North America: Stage 2
"SpookeyDog
Scre",(+1),102,0.71,155.6,0.68,63%,101.4,0.54,0.28,Challengers League 2024 North America: Stage 2
"Precision
DB",(+4),332,0.69,145.6,0.65,58%,96.0,0.51,0.23,Challengers League 2024 North America: Stage 2
"SexyChristian
Sexy",,116,0.68,139.4,0.59,67%,90.4,0.47,0.37,Challengers League 2024 North America: Stage 2
"Easy
Scre",(+1),102,0.64,177.2,0.70,56%,114.5,0.60,0.13,Challengers League 2024 North America: Stage 2
"Kladenstein
AVT",,43,1.32,264.5,1.34,70%,175.2,0.91,0.23,Challengers League 2024 South Asia: Split 3
"AceStaRRRRR
DUPG",,164,1.27,231.9,1.34,79%,151.7,0.82,0.35,Challengers League 2024 South Asia: Split 3
"SmokeA
Whoo",,51,1.23,246.3,1.31,78%,170.5,0.90,0.25,Challengers League 2024 South Asia: Split 3
"Envy2K
DUPG",,164,1.21,274.4,1.33,73%,162.7,0.97,0.16,Challengers League 2024 South Asia: Split 3
"r1seN
AST",,155,1.17,200.5,1.26,79%,137.9,0.71,0.34,Challengers League 2024 South Asia: Split 3
"Icarus
AST",,155,1.16,223.0,1.22,74%,153.2,0.81,0.17,Challengers League 2024 South Asia: Split 3
"Disease
DUPG",,164,1.16,195.8,1.17,73%,135.1,0.68,0.39,Challengers League 2024 South Asia: Split 3
"YasH
AST",,155,1.16,270.5,1.28,77%,169.0,0.97,0.19,Challengers League 2024 South Asia: Split 3
"LilBOii
DUPG",(+1),164,1.11,232.2,1.26,76%,154.5,0.87,0.30,Challengers League 2024 South Asia: Split 3
"XyRiS
OBF",,156,1.09,195.0,1.07,67%,130.1,0.68,0.24,Challengers League 2024 South Asia: Split 3
"HyBr1D
DUPG",,164,1.06,175.7,0.98,74%,107.9,0.63,0.53,Challengers League 2024 South Asia: Split 3
"Zion
OBF",,156,1.04,232.4,1.09,65%,154.2,0.80,0.17,Challengers League 2024 South Asia: Split 3
"Shrey
AVT",,43,1.04,264.0,1.14,67%,171.8,0.93,0.14,Challengers League 2024 South Asia: Split 3
"SNIPST
Amul",,121,1.01,233.3,1.19,63%,151.6,0.88,0.10,Challengers League 2024 South Asia: Split 3
"wAvE
AST",,155,0.99,216.5,1.07,75%,133.6,0.77,0.34,Challengers League 2024 South Asia: Split 3
"NoMeRcY
AVT",,43,0.98,220.5,1.00,67%,143.1,0.70,0.21,Challengers League 2024 South Asia: Split 3
"EL1TE
Amul",(+1),121,0.95,218.2,0.87,69%,144.0,0.69,0.36,Challengers League 2024 South Asia: Split 3
"Near
AST",(+1),155,0.94,167.1,0.88,72%,115.6,0.59,0.43,Challengers League 2024 South Asia: Split 3
"khelthuzad
Whoo",,51,0.91,216.7,0.95,65%,152.0,0.73,0.14,Challengers League 2024 South Asia: Split 3
"xlnc
Mogo",,34,0.89,179.5,0.77,50%,125.2,0.68,0.09,Challengers League 2024 South Asia: Split 3
"HJ
OBF",,156,0.89,203.8,0.94,69%,134.8,0.73,0.15,Challengers League 2024 South Asia: Split 3
"roboxfer
Mogo",,34,0.88,208.0,0.72,62%,133.1,0.68,0.21,Challengers League 2024 South Asia: Split 3
"mAcdak1ng
Amul",,121,0.85,191.0,0.88,69%,123.5,0.64,0.22,Challengers League 2024 South Asia: Split 3
"Sentiro
OBF",,156,0.85,154.5,0.79,61%,108.3,0.55,0.19,Challengers League 2024 South Asia: Split 3
"Pixelzz
Whoo",,51,0.84,159.3,0.73,65%,109.4,0.59,0.20,Challengers League 2024 South Asia: Split 3
"RAJAFTW
AVT",,43,0.82,163.5,0.74,67%,109.1,0.58,0.16,Challengers League 2024 South Asia: Split 3
"xeCyy
OBF",,156,0.80,147.4,0.70,60%,97.9,0.52,0.38,Challengers League 2024 South Asia: Split 3
"DrEviL
Amul",,121,0.78,158.2,0.75,67%,105.5,0.55,0.22,Challengers League 2024 South Asia: Split 3
"Zuko
Amul",,121,0.77,174.8,0.75,73%,108.5,0.60,0.36,Challengers League 2024 South Asia: Split 3
"Marcai
Whoo",,51,0.68,177.3,0.65,63%,106.8,0.59,0.10,Challengers League 2024 South Asia: Split 3
"LuciA
Whoo",,51,0.65,135.3,0.58,69%,88.2,0.45,0.31,Challengers League 2024 South Asia: Split 3
"VictiM
Mogo",,34,0.60,147.0,0.52,59%,87.6,0.47,0.26,Challengers League 2024 South Asia: Split 3
"Azey
Mogo",,34,0.58,139.0,0.41,65%,97.5,0.38,0.53,Challengers League 2024 South Asia: Split 3
"Brave
Mogo",,34,0.47,122.5,0.47,56%,83.2,0.41,0.21,Challengers League 2024 South Asia: Split 3
"K1LANI
DING",,51,1.33,276.0,1.44,76%,170.7,0.96,0.25,Challengers League 2024 Oceania: Stage 3
"kaza
EDGE",,136,1.28,222.1,1.46,82%,141.7,0.82,0.37,Challengers League 2024 Oceania: Stage 3
"Nozz
BOBO",(+2),236,1.27,227.0,1.46,80%,150.7,0.83,0.45,Challengers League 2024 Oceania: Stage 3
"Crunchy
BOBO",,236,1.27,224.7,1.34,81%,143.0,0.80,0.56,Challengers League 2024 Oceania: Stage 3
"kadiri
EDGE",,136,1.24,312.4,1.40,74%,203.0,1.11,0.15,Challengers League 2024 Oceania: Stage 3
"Zauqk
BOBO",,236,1.23,234.3,1.30,77%,151.9,0.82,0.37,Challengers League 2024 Oceania: Stage 3
"binjo
Peac",,86,1.21,227.8,1.35,78%,156.6,0.81,0.23,Challengers League 2024 Oceania: Stage 3
"quens1on
RNP",,225,1.21,235.0,1.43,75%,156.2,0.90,0.20,Challengers League 2024 Oceania: Stage 3
"Velora
Peac",,46,1.21,232.5,1.33,72%,154.8,0.87,0.28,Challengers League 2024 Oceania: Stage 3
"zenox
EDGE",,136,1.18,237.6,1.40,74%,156.9,0.88,0.13,Challengers League 2024 Oceania: Stage 3
"Jawsy
RNP",,181,1.17,222.9,1.24,77%,141.9,0.83,0.40,Challengers League 2024 Oceania: Stage 3
"M1kE
BOBO",,236,1.17,189.3,1.27,77%,127.6,0.71,0.30,Challengers League 2024 Oceania: Stage 3
"Lazy
Peac",,40,1.17,250.5,1.17,73%,184.2,0.85,0.50,Challengers League 2024 Oceania: Stage 3
"exempt
EDGE",,136,1.17,201.0,1.25,79%,131.7,0.74,0.40,Challengers League 2024 Oceania: Stage 3
"Gon
TTS",,114,1.14,241.4,1.07,70%,154.3,0.82,0.37,Challengers League 2024 Oceania: Stage 3
"dcey
Vatl",,176,1.13,242.4,1.27,71%,159.5,0.91,0.14,Challengers League 2024 Oceania: Stage 3
"Chax
KTS",,167,1.13,244.1,1.18,74%,155.5,0.86,0.14,Challengers League 2024 Oceania: Stage 3
"Exirst
BOBO",,236,1.13,244.9,1.23,74%,162.7,0.87,0.19,Challengers League 2024 Oceania: Stage 3
"NOVAE
TTS",,114,1.12,231.4,1.20,68%,159.9,0.85,0.21,Challengers League 2024 Oceania: Stage 3
"dokja
Peac",,86,1.11,221.3,1.20,69%,138.6,0.83,0.14,Challengers League 2024 Oceania: Stage 3
"Saitama
Vatl",,243,1.10,228.7,1.07,73%,146.0,0.77,0.36,Challengers League 2024 Oceania: Stage 3
"indraa
RNP",,225,1.08,251.3,1.08,72%,158.9,0.86,0.22,Challengers League 2024 Oceania: Stage 3
"RESLYDE
Peac",,86,1.08,249.3,1.12,72%,164.3,0.87,0.17,Challengers League 2024 Oceania: Stage 3
"maine
iPGN",(+1),142,1.07,229.1,1.00,73%,145.5,0.77,0.34,Challengers League 2024 Oceania: Stage 3
"icy
BNDT",,111,1.05,228.0,1.05,75%,155.0,0.80,0.25,Challengers League 2024 Oceania: Stage 3
"SCRAM
Vatl",,65,1.04,205.0,0.94,80%,139.9,0.72,0.18,Challengers League 2024 Oceania: Stage 3
"brock
KTS",,167,1.04,232.1,1.09,69%,153.2,0.81,0.32,Challengers League 2024 Oceania: Stage 3
"Wiqzu
BNDT",(+1),73,1.03,213.0,1.14,73%,130.2,0.78,0.15,Challengers League 2024 Oceania: Stage 3
"TysonRCX
DING",,109,1.03,225.4,1.08,72%,149.9,0.83,0.19,Challengers League 2024 Oceania: Stage 3
"glaive
Vatl",,136,1.02,193.3,0.96,69%,126.7,0.70,0.29,Challengers League 2024 Oceania: Stage 3
"ecco
RNP",,225,1.01,238.2,1.07,69%,157.5,0.83,0.17,Challengers League 2024 Oceania: Stage 3
"Syvyth
Vatl",(+2),243,1.00,196.8,0.96,70%,134.0,0.69,0.20,Challengers League 2024 Oceania: Stage 3
"songry
iPGN",(+1),174,0.99,192.7,1.00,71%,134.5,0.69,0.26,Challengers League 2024 Oceania: Stage 3
"azoh
EDGE",(+2),136,0.98,165.0,0.78,83%,100.2,0.51,0.61,Challengers League 2024 Oceania: Stage 3
"ACE
BNDT",(+1),75,0.98,219.3,1.07,69%,152.7,0.80,0.21,Challengers League 2024 Oceania: Stage 3
"phequa
iPGN",(+1),174,0.97,211.6,1.08,71%,143.3,0.75,0.19,Challengers League 2024 Oceania: Stage 3
"Art
KTS",,167,0.96,187.3,0.92,75%,125.5,0.64,0.50,Challengers League 2024 Oceania: Stage 3
"clutchyy
Stac",(+1),85,0.96,219.8,0.90,61%,140.2,0.73,0.38,Challengers League 2024 Oceania: Stage 3
"Dasani
KTS",(+2),167,0.96,207.0,1.01,71%,142.1,0.72,0.26,Challengers League 2024 Oceania: Stage 3
"lg1c
iPGN",,174,0.94,199.8,0.99,68%,133.5,0.73,0.14,Challengers League 2024 Oceania: Stage 3
"R3gen
TTS",,114,0.92,206.6,0.94,71%,134.9,0.72,0.23,Challengers League 2024 Oceania: Stage 3
"meli
Stac",,85,0.92,208.8,0.89,67%,141.6,0.76,0.21,Challengers League 2024 Oceania: Stage 3
"doleful
BNDT",(+1),111,0.92,185.0,0.94,68%,133.3,0.68,0.31,Challengers League 2024 Oceania: Stage 3
"KhenZy
Stac",,85,0.90,194.8,0.82,68%,126.4,0.65,0.14,Challengers League 2024 Oceania: Stage 3
"idkman
NE",,35,0.90,227.0,0.77,74%,152.3,0.69,0.40,Challengers League 2024 Oceania: Stage 3
"Lychii
TTS",,62,0.90,155.0,0.79,68%,98.6,0.53,0.44,Challengers League 2024 Oceania: Stage 3
"iBrocky
KTS",,167,0.89,166.1,0.85,68%,115.6,0.57,0.23,Challengers League 2024 Oceania: Stage 3
"MACHEEW
Stac",,44,0.88,165.5,0.63,66%,108.5,0.50,0.45,Challengers League 2024 Oceania: Stage 3
